message poruka
mess nered
algorithm algoritam
bar bar
structure struktura
tree drvo
inexpensive jeftin
condition okolnost
infamous sraman
direct neposredan
injure raniti
graph graf
tree stablo
concave udubljen
water voda
bar tezga u baru
bottle flasa
bar brana
mouse mis
keyboard tastatura
pass propusnica
search traziti
file fascikla
inevitable neizbezan
save spasti
ace jedinica
bar prepreka
student djak
student student
save sacuvati
direct direktan
fungus gljiva
machine masina
mischance nezgoda
well dobar
condition uslov
condition stanje
injure povrediti
bar sipka
ace kec
direct uputiti
inexact netacan
pass prolaz
infinite beskonacan
direct upravljati
direct naredjivati
pass putna isprava
well bunar
sun sunce
inherit naslediti
companion pratilac
file turpija
inexact neispravan
